claim_id,theta_i_phi1,theta_i_phi2,theta_i_phi3,theta_i_phi4,theta_i_phi_res,cluster_id,R_i,r_train_mean
rpp.1,-3.7429099329094883e-06,0.0014132496262831556,0.00023423765058953953,-1.4926001616453188e-05,0.0012831128846766682,Tracing attention and the activation flow in spoken word planning using eye movements,100,80.0
rpp.10,0.0,0.0014813575397640095,0.00018076200422658894,-2.96589422897639e-05,0.00218500814829916,Acrossnotation automatic numerical processing,100,80.0
rpp.104,0.0,-0.00028651180905839567,0.0003710340241139252,5.691718328832751e-05,0.00154329185165614,Effects of fluency on psychological distance and mental construal or why New York is a large city but New York is a civilized jungle,100,80.0
rpp.106,-5.929890649510855e-05,0.0012235613695006833,-3.786108311455233e-05,5.407623589440275e-05,0.0015403098842145732,More than meets the eye the role of language in binding and maintaining feature conjunctions,100,80.0
rpp.107,-2.648244324246318e-05,5.497526533214503e-05,6.202579402015615e-05,0.00018594263162523828,0.00146367625226492,Nonconscious goal pursuit in novel environments The case of implicit learning,100,80.0
rpp.11,0.0,0.0013516515329945256,7.577491187654855e-05,0.00017855423813465415,0.0021555755669942674,Attractor dynamics and semantic neighborhood density Processing is slowed by near neighbors and speeded by distant neighbors,100,80.0
rpp.110,-1.949414569938912e-06,0.0005207081392869728,2.0876929853474446e-05,-1.4595545349777029e-05,0.0020132786407792615,Perceptual mechanisms that characterize gender differences in decoding womens sexual intent,100,80.0
rpp.111,0.00018311074233870128,0.0020318496320414748,-3.382303806327147e-05,1.1330966323383761e-05,0.0016628879473597092,Precision of the anchor influences the amount of adjustment,100,80.0
rpp.112,-9.393474464108889e-05,0.002178567394792642,0.0002511427464015522,-7.342690100168303e-06,0.0008708360435470657,Action dynamics reveal parallel competition in decision making,100,80.0
rpp.113,2.005106382211741e-05,-0.00022066413953272855,-0.00019133640239904492,-4.9462977120768305e-05,0.0020777124552304157,Prescribed optimism Is it right to be wrong about the future?,100,80.0
rpp.114,2.9960037165233654e-05,0.0008111218413067528,4.8178692612347864e-05,-4.947432300301285e-05,0.0018525825019186826,Agerelated changes in the episodic simulation of future events,100,80.0
rpp.115,-2.686246643507195e-05,0.0017784032139024947,0.0002421180769642392,4.2704114548338943e-05,0.0018178745610199964,Preschoolers perspective taking in word learning do they blindly follow eye gaze?,100,80.0
rpp.116,-0.0003339530038383204,0.0026511306065751432,-4.0366975006410345e-05,1.701176073177102e-05,0.001497690111537818,Measuring the crowd within Probabilistic representations within individuals,100,80.0
rpp.117,-1.94989045308952e-05,0.0036819407079869606,5.4997330966679026e-05,5.724420975543945e-06,0.002347530194601712,Temporal selection is suppressed delayed and diffused during the attentional blink,100,80.0
rpp.118,5.554220658847697e-06,-5.307574507226909e-05,0.00026414412703000426,0.0001499908676251439,0.001149986529758277,Toward a physiology of dualprocess reasoning and judgment lemonade willpower and expensive rulebased analysis,100,80.0
rpp.12,8.389665467103957e-06,0.0007427580817132276,-5.972235178503954e-06,-5.199207014625104e-05,0.001149616558144424,When does betweensequence phonological similarity promote irrelevant sound disruption?,100,80.0
rpp.120,-2.313505179361158e-06,0.00031129177103699087,1.9712800354581838e-05,-7.650832466497005e-06,0.0005858285162542847,Errors Are Aversive Defensive Motivation and the ErrorRelated Negativity,100,80.0
rpp.121,-1.8057611043589272e-05,0.0003036970482419494,-2.9343992487567764e-05,3.3345718279235647e-06,0.0010147074834612857,The sunny side of fairness Preference for fairness activates reward circuitry and disregarding unfairness activates selfcontrol circuitry,100,80.0
rpp.122,3.517181218784249e-06,0.0013818733995644037,0.0005601934291486212,6.97087562700895e-05,0.001523488483798101,The representation of simple ensemble visual features outside the focus of attention,100,80.0
rpp.124,-8.070662368355325e-06,0.0001349694217705559,5.558570653023578e-05,5.019151055832144e-06,0.0006524588830117272,Loving those who justify inequality the effects of system threat on attraction to women who embody benevolent sexist ideals,100,80.0
